date,UK_CPI,UK_UNEMPLOYMENT,UK_GDP
2022-01-01,5.5,3.9,1.0
2022-02-01,6.2,3.8,1.0
2022-03-01,7.0,3.8,1.0
2022-04-01,9.0,3.7,0.6
2022-05-01,9.1,3.8,0.6
2022-06-01,9.4,3.6,0.6
2022-07-01,10.1,3.6,0.1
2022-08-01,9.9,3.7,0.1
2022-09-01,10.1,3.8,0.1
2022-10-01,11.1,3.9,0.3
2022-11-01,10.7,3.9,0.3
2022-12-01,10.5,3.9,0.3
2023-01-01,10.1,4.0,0.1
2023-02-01,10.4,4.0,0.1
2023-03-01,10.1,3.9,0.1
2023-04-01,8.7,4.0,0.0
2023-05-01,8.7,4.2,0.0
2023-06-01,7.9,4.4,0.0
2023-07-01,6.8,4.3,-0.2
2023-08-01,6.7,4.1,-0.2
2023-09-01,6.7,4.0,-0.2
2023-10-01,4.6,4.0,-0.3
2023-11-01,3.9,3.9,-0.3
2023-12-01,4.0,4.1,-0.3
2024-01-01,4.0,4.2,0.7
2024-02-01,3.4,4.3,0.7
2024-03-01,3.2,4.4,0.7
2024-04-01,2.3,4.4,0.6
2024-05-01,2.0,4.2,0.6
2024-06-01,2.0,4.2,0.6
2024-07-01,2.2,4.1,0.2
2024-08-01,2.2,4.3,0.2
2024-09-01,1.7,4.2,0.2
2024-10-01,2.3,4.4,0.4
2024-11-01,2.6,4.4,0.4
2024-12-01,2.5,4.4,0.4
2025-01-01,3.0,4.5,0.6
2025-02-01,2.8,4.6,0.6
2025-03-01,2.6,4.6,0.6
2025-04-01,3.5,4.7,0.2
2025-05-01,3.4,4.7,0.2
2025-06-01,3.6,4.7,0.2
2025-07-01,3.8,4.8,0.1
2025-08-01,3.8,5.0,0.1
2025-09-01,3.8,5.1,0.1
2025-10-01,3.6,5.1,0.1
2025-11-01,3.2,5.2,0.1
2025-12-01,3.4,5.2,0.1
2026-01-01,3.0,4.9,0.6
2026-02-01,3.0,5.0,0.6
2026-03-01,3.3,4.9,0.6
2026-04-01,2.8,4.9,0.6
2026-05-01,2.8,4.9,0.6
2026-06-01,2.6,4.9,0.6
